OBJECTID,DAQ_ID,COMPANY,ADDRESS1,ADDRESS2,ADDRESS3,CITY,COUNTY,EASTING,NORTHING,YEAR,CARBON_MONOXIDE,OXIDES_NITROGEN,AMMONIA,PARTICULATE_MATTER_PM10,OXIDES_SULFUR,PM25,VOLATILE_ORGANIC_COMPOUNDS,x,y
1,10251,"Intrepid Potash - Moab, LLC- Salt & Potash Production Facility",1 Potash Road,,,Moab,Grand,622800,4273600,2017,16.14,19.25,0.09,21.5,,6.43,1.95,-12199474.23,4664879.036
2,12299,Bolinder Resources LLC- Stansbury Island Aggregate Plant,"Stansbury Island, Six miles",north from exit 84 on I-80,,Tooele County,Tooele,371460,4517280,2017,0.4617,2.3647,,2.6802,,0.7156,0.0331,-12526079.48,4982366.486
3,10591,Blanchard Metals Processing Company- Metals Plating & Processing,1115 S. Pioneer Rd.,,,Salt Lake City,Salt Lake,419100,4505185,2017,0.71,1.6,0.0007,0.064,,0.064,0.7649,-12463052.49,4967251.665
4,11949,Schreiber Foods Incorporated- Smithfield Cheese Packing Facility,2180 West 6550 North,Attn: Kody Johnson,,Smithfield,Cache,426400,4633400,2017,3.547,4.2226,0.1351,0.3209,,0.3209,0.2322,-12455159.78,5138399.226
5,12288,Construction Recycling Incorporated- Construction Debris Recycling,620 S Delong St,,,Salt Lake City,Salt Lake,419575,4511754,2017,0.91,3.14,,1.19,,0.61,0.41,-12462520.63,4975949.627
6,12576,Schreiber Foods Incorporated- Logan Cheese Processing Plant,885 North 600 West,,,Logan,Cache,429324,4622172,2017,6.667,2.9907,0.254,0.6032,,0.6032,0.4365,-12451090.29,5123339.523
7,12377,Intermountain Healthcare - Logan Regional Medical Center,500 E 1400 N,,,Logan,Cache,431620,4623020,2017,4.76,3.06,,0.45,,0.42,0.56,-12448027.38,5124509.098
8,14180,eBay Inc.: Topaz (South Jordan) Data Center,6614 West Crimson View Drive,,,South Jordan,Salt Lake,411122,4490891,2017,0.00084007,0.0037417,,0.00055054,,0.00026554,0.00029813,-12473337.81,4948246.567
9,12900,Bryce Christensen Excavating Inc.- BCE St. George Aggregate Production Plant,2052 E 3200 S,,,St. George,Washington,274060,4103570,2017,0.67,2.11,,3.96,,1.72,0.28,-12639304.99,4446243.545
10,11205,Denison Mines (USA) Corp.- White Mesa Mill,6 Miles south of Blanding,on Highway 191,,San Juan County,San Juan,634400,4159100,2017,26.6,11.61,,1.51,,1.51,1.72,-12187047.38,4518736.73
11,12785,Foreland Refining Corporation- Asphalt Blowing Plant,1710 W 2600 S,,,Woods Cross,Davis,422700,4523000,2017,1.91,2.28,0.073,3.19,,1.48,0.78,-12458555.29,4990890.701
12,12868,Holliday Construction Incorporated- Blanding Pit,700 E. Brown Canyon Rd.,,,Blanding,San Juan,635700,4166500,2017,0.47,1.94,,0.95,,0.3,0.28,-12185256.46,4528078.441
13,10617,Holliday Construction Incorporated- Bluff Pit,4 miles west of Bluff,at the intersection of U.S. Routes 163 and 191,,San Juan County,San Juan,621900,4124700,2017,4.19,17.4,,5.2,,1.64,2.54,-12203431.8,4475534.304
14,11572,Jack B. Parsons Company- Bauer Aggregate Pit & Concrete Batch Plant,4 miles South of Tooele near Highway Mile Marker 50 on SR 36,,,Bauer,Tooele,385400,4481200,2017,0.333,0.723,,3.33,,1.29,0.094,-12506958.5,4935002.445
15,12740,Marko Foam Products- Packaging & Other Foam Products Manufacturing,2940 W 1100 S,,,Salt Lake City,Salt Lake,418540,4510760,2017,1.43756089,1.61352683,0.0512,0.12204418,,0.12204418,21.62820503,-12463870.9,4974619.06
16,10051,"Swift Beef Company, Inc.- Hyrum Meat Packing Plant",410 North 200 West,,,Hyrum,Cache,428430,4610460,2017,23.48,19.53,1.74,3.83,,2.77,1.88,-12452130.67,5107602.261
17,11974,Bountiful City Corporation- Bountiful Sanitary Landfill,1350 W Pages Ln,,,West Bountiful,Davis,422800,4529200,2017,5.46,8.76,,27.1,,3.58,5.742,-12458508.98,4999114.563
18,13128,"Cephalon, Incorporated- Pharmaceuticals Manufacturing Plant",4745 Wiley Post Way,,,Salt Lake City,Salt Lake,415290,4514090,2017,3.64,4.34,0.000449,1.58,,1.58,1.07,-12468205.72,4978978.842
19,10148,"Nexeo Solutions, LLC- Chemical Distribution Center",Clearfield Distribution Facility,Freeport Center BLDG 12,,Clearfield,Davis,412000,4550000,2017,0.171,0.1914,,0.0066,,0.0066,5.5435,-12473112.53,5026587.746
20,12298,Bland Recycling LLC- Aggregate Processor and Asphalt Concrete Recycler,7141 S. U-111,,,West Jordan,Salt Lake,411140,4497540,2017,1.187,2.21,0.024,0.656,,0.278,0.249,-12473418.17,4957026.605
21,12911,Mel Clark Construction- Cedar City Aggregate Processing Plant,2333 North Bulldog Road,,,Cedar City,Iron,316546,4176725,2017,1.62,4.7,,4.72,,1.58,0.39,-12588174.43,4539865.946
22,10154,Mission Support Inc. (MSI)- Paint Booth - Mission Support,Building Z-15 Freeport Center,,,Clearfield,Davis,414574,4549344,2017,,,,,,,3.497E-05,-12469690.92,5025755.59
23,12524,PacifiCorp Energy: Currant Creek Power Plant,2096 West 300 North,off State Hwy 54,,Mona,Juab,423600,4408100,2017,297.9595812,157.6778215,40.90533535,24.2300984,,24.23000915,10.0224551,-12455836.47,4839740.624
24,13043,Fetzer's Incorporated- West Valley Woodworking Plant,6223 West Double Eagle Circle,,,West Valley City,Salt Lake,412200,4501800,2017,0.12394958,0.75570044,,0.10722687,,0.1071356,0.0451687,-12472089.45,4962672.601
25,11060,Interstate Rock Products- Hurricane Pit,3750 W 450 N,,,Hurricane,Washington,290034,4118345,2017,1.8482,2.9241,0.0006,4.5915,,1.2144,1.0926,-12619784.87,4465339.34
26,14235,Interstate Rock Products- LaVerkin Pit,740 N SR 9,,,La Verkin,Washington,298368,4122138,2017,0.3136,0.6332,,1.5137,,0.3935,0.0683,-12609454.81,4470371.021
27,10884,Heber Light and Power Company- Power Plant,735 West 300 South,,,Heber City,Wasatch,463994,4483681,2017,2.96,15.8,,0.388,,0.388,3.159,-12403768.6,4939317.003
28,14111,Pacific Energy & Mining Company- Greentown Dewpoint Control Plant,Remote Location Grand County,"Section 32, T22S, R18E",,Crescent Junction,Grand,590326,4301796,2017,14.6,8.91,,0.08,,0.08,0.11,-12240572.21,4701689.462
29,11995,Allen Gravel LLC- Aggregate Processing,1600 East 12200 North,,,Cove,Cache,434000,4644800,2017,16.01,13.28,,1.88,,0.41,0.29,-12445111.21,5153854.688
30,15525,Rupp's Trucking and Excavation Inc.- Tremonton Aggregate Pit,13230 North 3100 West,,,Collinston,Box Elder,408900,4622265,2017,2.21,9.64,0.08,5.05,,0.66,0.29,-12478432.92,5123154.181
31,14143,"Nelco Contractors, Inc.- Hiawatha Pit",2000 Feet Southwest of Watus Junction,,,Hiawatha,Carbon,508410,4370380,2017,0.0624,0.6506,,4.2861,,1.2685,0.3175,-12345577.47,4791092.107
32,10722,Cargill Incorporated--Salt Division- Timpie Salt Processing Plant,15100 West Rowley Road,,,Grantsville,Tooele,359940,4512330,2017,13.5,25.15,0.2,28.18,,16.14,2.18,-12541151.46,4975537.457
33,10521,Qwest- Standby Diesel Emergency Generator,Salt Lake Main Central Office,70 South State Street,,Salt Lake City,Salt Lake,425573,4512557,2017,0.314415,1.18368,,0.02119527,,0.02056644,0.033291,-12454622.58,4977095.566
34,12934,Quality Excavation Inc.- Aggregate Plant - Fort Pierce Industrial Park,1630 East 6000 South,,,St. George,Washington,278274,4099314,2017,4.94,5.05,,1.4,,0.2,0.29,-12633894.77,4441038.892
35,10420,"ACH Foam Technologies, LLC- Expanded Polystyrene Mfg. Plant",111 W. Fireclay Ave.,,,Murray,Salt Lake,420650,4509950,2017,0.6124932,0.73469,0.023272,0.055799,,0.055799,88.42017875,-12461077.73,4973577.409
36,11992,Wells Industries Incorporated - Ogden Trailer Manufacturing,1741 W 2550 S,,,Ogden,Weber,414471,4563408,2017,1.65030649,0.88257827,,1.10257973,,1.10257973,15.74046992,-12470045.87,5044481.438
37,12871,Brown Brothers Construction- Gravel Crushing & Washing,~3/4 m NE of Loa by Hwy 72,,,Loa,Wayne,442600,4253900,2017,0.6663,3.0922,,0.372129,,0.235866,0.2507,-12429672.46,4640566.277
