ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
49,Utah,UT,49001,Beaver County,49001100100,Census Tract 1001; Beaver County; Utah,524.265764394708,3734,161,1756,134,1353,119,304,211,17,25,194,92,272,135,651,218,684,109,1019,147,474,121,61,51,61,71,612,262,17,27,44,45,27,30,56,50,177,69,8.5,5.9,1.0,1.5,14.3,6.7,10.8,5.2,18.3,5.7,18.3,3.1,27.3,3.5,13.3,3.5,4.5,3.7,1.8,2.1,16.4,7.0,1.0,1.5,2.5,2.6,2.0,2.2,4.1,3.6,4.7,1.8,0.2782,0.1116,0.2514,0.8082,0.9068,2.3562,0.4477,0.8632,0.4626,0.7811,0.5056,0.6333,3.2458,0.887,0.4203,0.4203,0.4203,0.363,0.7401,0.4774,0.678,0.9111,3.1696,0.8192,9.1919,0.7105,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3593,284,110,10,18,549,153,0,12,43,78,10,17,0,12,0,12,21.0,7.6,0.3,0.5,14.7,4.0,0.0,0.9,1.2,2.1,0.3,0.5,0.0,0.9,0.0,0.9
49,Utah,UT,49001,Beaver County,49001100200,Census Tract 1002; Beaver County; Utah,2058.644788110828,3368,161,1148,131,937,127,373,135,99,56,137,57,55,33,169,117,320,103,1171,156,415,137,56,42,80,63,572,263,4,13,49,34,2,13,6,9,25,6,11.2,4.0,6.5,3.9,14.6,5.8,3.2,1.9,5.1,3.5,9.5,3.1,34.8,4.1,12.4,4.1,6.0,4.4,2.6,2.0,17.0,7.8,0.3,1.1,4.3,2.9,0.2,1.4,0.6,1.0,0.7,0.2,0.3983,0.8884,0.2655,0.3131,0.3008,2.1661,0.4096,0.385,0.8223,0.7119,0.678,0.7207,3.3179,0.9153,0.4457,0.4457,0.4457,0.2952,0.8051,0.161,0.1723,0.6685,2.1021,0.4647,8.0318,0.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2646,175,79,0,12,370,153,0,12,20,29,0,12,176,91,6,9,18.7,8.1,0.0,1.0,11.0,4.4,0.0,1.0,0.6,0.9,0.0,1.0,5.2,2.7,0.2,0.3
49,Utah,UT,49003,Box Elder County,49003960100,Census Tract 9601; Box Elder County; Utah,5260.12156057529,4087,497,1298,130,1074,121,823,384,7,6,174,73,212,114,332,211,491,122,1453,240,437,127,28,21,10,51,366,695,0,16,147,72,38,37,5,5,23,5,20.1,9.1,0.4,0.3,16.2,6.5,9.2,4.5,8.1,5.0,12.0,3.2,35.6,3.3,10.7,2.7,2.6,1.9,0.3,1.3,9.0,17.0,0.0,1.2,11.3,5.4,3.5,3.4,0.5,0.5,0.6,0.1,0.7189,0.0438,0.3362,0.7475,0.5565,2.4029,0.459,0.5557,0.8505,0.572,0.3008,0.2539,2.5329,0.5085,0.1157,0.1157,0.1157,0.0,0.911,0.6525,0.1596,0.6474,2.3705,0.5381,7.422,0.4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2425,73,33,16,22,217,147,39,50,2,3,0,12,92,63,0,12,6.8,3.1,0.4,0.5,5.3,3.5,1.0,1.3,0.0,0.1,0.0,0.9,2.3,1.5,0.0,0.9
49,Utah,UT,49003,Box Elder County,49003960200,Census Tract 9602; Box Elder County; Utah,100.173300575928,8162,488,2566,196,2375,186,1678,460,121,56,440,117,293,104,881,304,913,161,2733,313,802,182,114,73,18,68,912,708,1,17,102,71,98,53,110,80,0,17,20.6,5.5,3.3,1.5,18.5,4.7,6.3,2.2,10.8,3.5,11.2,2.0,33.5,3.1,9.8,2.2,4.8,3.1,0.2,0.9,11.2,8.6,0.0,0.7,4.0,2.7,4.2,2.2,4.6,3.3,0.0,0.2,0.7302,0.565,0.4209,0.591,0.6808,2.9879,0.6511,0.5021,0.7715,0.4746,0.541,0.2031,2.4923,0.4901,0.2031,0.2031,0.2031,0.0,0.7952,0.7147,0.7203,0.0,2.2302,0.4944,7.9135,0.5311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5733,123,39,5,10,752,246,22,19,16,17,0,17,117,108,0,17,5.2,1.6,0.1,0.1,9.2,3.0,0.3,0.2,0.2,0.2,0.0,0.4,1.4,1.3,0.0,0.4
49,Utah,UT,49003,Box Elder County,49003960301,Census Tract 9603.01; Box Elder County; Utah,10.042894102674,4356,580,1543,206,1488,212,443,330,30,18,145,100,56,66,139,99,493,126,1236,285,596,243,131,132,65,107,574,804,38,51,7,8,4,13,2,4,0,12,10.2,7.5,1.3,0.9,9.7,6.6,2.1,2.4,3.2,2.2,11.3,2.7,28.4,4.4,13.7,5.2,8.8,8.8,1.6,2.6,13.2,18.4,2.5,3.3,0.5,0.5,0.3,0.9,0.1,0.2,0.0,0.3,0.3517,0.1653,0.1031,0.1819,0.1568,0.9588,0.0862,0.5106,0.5219,0.8051,0.8644,0.6107,3.3127,0.9096,0.2934,0.2934,0.2934,0.4407,0.596,0.1695,0.1314,0.0,1.3376,0.2486,5.9025,0.2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5987,95,61,0,12,424,271,84,65,0,12,0,12,66,43,0,12,6.4,4.0,0.0,0.8,9.7,5.9,1.9,1.6,0.0,0.8,0.0,0.8,1.5,1.0,0.0,0.8
49,Utah,UT,49003,Box Elder County,49003960302,Census Tract 9603.02; Box Elder County; Utah,3.80029966897,6022,527,2228,192,2042,220,872,466,120,76,661,256,364,223,641,258,567,197,2154,313,716,241,100,82,14,70,970,782,0,24,302,216,38,44,24,34,26,5,14.5,7.7,4.3,2.5,32.4,12.0,11.3,7.1,10.7,4.3,9.4,3.3,35.8,3.6,11.9,3.9,4.9,4.0,0.3,1.3,16.1,12.9,0.0,1.1,13.6,9.0,1.8,2.1,1.2,1.6,0.4,0.1,0.5438,0.7119,0.8404,0.8237,0.6709,3.5907,0.8291,0.3794,0.859,0.6751,0.5523,0.2539,2.7197,0.6285,0.4062,0.4062,0.4062,0.0,0.9336,0.4379,0.2994,0.6008,2.2717,0.5028,8.9883,0.6836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5051,216,166,2,2,955,268,0,17,2,5,0,17,11,19,0,17,10.6,8.0,0.0,0.1,15.9,4.6,0.0,0.6,0.0,0.1,0.0,0.6,0.2,0.3,0.0,0.6
49,Utah,UT,49003,Box Elder County,49003960400,Census Tract 9604; Box Elder County; Utah,254.091235069896,5272,422,1731,155,1655,159,974,344,62,46,309,92,225,118,523,188,708,101,1540,212,413,97,87,53,49,71,845,593,0,24,42,40,32,18,92,84,0,17,18.5,6.4,2.5,1.9,18.7,5.3,6.7,3.4,10.0,3.4,13.4,1.9,29.2,3.2,7.9,1.7,5.3,3.2,1.0,1.4,16.0,11.2,0.0,1.4,2.4,2.2,2.0,1.1,5.6,4.8,0.0,0.3,0.6695,0.4138,0.4294,0.6164,0.6427,2.7718,0.5791,0.653,0.5571,0.3051,0.6031,0.4937,2.612,0.5621,0.3977,0.3977,0.3977,0.0,0.7387,0.4774,0.774,0.0,1.9901,0.435,7.7716,0.5113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6255,171,83,24,29,602,238,97,46,30,33,10,14,61,56,21,29,10.3,4.7,0.5,0.5,11.4,4.4,1.8,0.9,0.6,0.6,0.2,0.3,1.2,1.1,0.4,0.5
49,Utah,UT,49003,Box Elder County,49003960500,Census Tract 9605; Box Elder County; Utah,62.679762772514,5442,495,1857,205,1839,201,802,272,72,63,460,180,204,113,325,175,759,131,1643,273,855,211,72,50,9,67,642,709,108,63,0,17,15,33,166,145,146,16,15.1,4.9,2.8,2.5,25.0,9.4,6.6,3.5,6.1,3.3,13.9,2.4,30.2,3.8,16.1,3.9,3.9,2.7,0.2,1.3,11.8,13.0,5.8,3.3,0.0,1.9,0.8,1.8,9.0,7.4,2.7,0.2,0.5692,0.4675,0.6681,0.6051,0.3884,2.6983,0.5508,0.6742,0.6093,0.9025,0.4492,0.2031,2.8383,0.702,0.2271,0.2271,0.2271,0.5636,0.0,0.2528,0.8955,0.8505,2.5624,0.6116,8.3261,0.5975,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6867,200,83,17,24,359,221,17,26,33,40,0,17,171,126,45,71,10.9,4.7,0.3,0.4,6.6,4.0,0.3,0.5,0.6,0.7,0.0,0.6,3.1,2.3,0.8,1.3
49,Utah,UT,49003,Box Elder County,49003960601,Census Tract 9606.01; Box Elder County; Utah,0.843796191146,3812,355,1496,144,1444,138,914,326,73,51,287,122,213,98,607,348,518,87,911,155,544,151,94,66,41,58,430,516,93,88,26,44,36,47,123,92,11,3,24.0,8.3,3.7,2.5,19.9,8.2,8.4,3.7,15.9,8.8,13.6,2.3,23.9,3.0,14.3,3.7,6.5,4.5,1.1,1.6,11.3,13.5,6.2,5.9,1.7,2.9,2.5,3.2,8.5,6.3,0.3,0.1,0.8051,0.6398,0.4774,0.7151,0.8715,3.5089,0.8065,0.6643,0.2906,0.8376,0.7203,0.5106,3.0234,0.7895,0.2087,0.2087,0.2087,0.5749,0.7048,0.5424,0.887,0.5656,3.2747,0.8517,10.0157,0.8319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4787,158,102,0,12,317,289,13,25,0,12,0,12,100,130,0,12,10.9,6.9,0.0,0.9,8.3,7.4,0.3,0.7,0.0,0.9,0.0,0.9,2.6,3.4,0.0,0.9
49,Utah,UT,49003,Box Elder County,49003960602,Census Tract 9606.02; Box Elder County; Utah,12.024571884122,2745,295,945,107,945,107,352,181,66,34,140,51,70,61,149,82,524,110,715,116,302,91,9,12,0,48,327,401,31,20,0,12,13,34,20,15,40,2,13.0,6.5,5.3,2.8,14.8,5.1,3.7,3.1,5.5,3.0,19.1,3.3,26.0,3.2,11.2,2.8,0.9,1.3,0.0,1.9,11.9,14.6,3.3,2.1,0.0,3.6,1.4,3.6,2.1,1.6,1.5,0.2,0.476,0.8121,0.2768,0.3752,0.3376,2.2777,0.4266,0.8843,0.3935,0.6172,0.1102,0.0,2.0052,0.2331,0.2313,0.2313,0.2313,0.4831,0.0,0.3531,0.4647,0.7659,2.0668,0.4548,6.581,0.3573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2107,41,28,25,41,217,178,35,30,2,6,0,12,48,42,0,12,4.3,3.0,0.9,1.4,7.9,6.1,1.3,1.1,0.1,0.2,0.0,1.3,1.7,1.6,0.0,1.3
49,Utah,UT,49003,Box Elder County,49003960701,Census Tract 9607.01; Box Elder County; Utah,1.52430946039,5306,591,1782,142,1652,147,1130,373,122,72,360,118,208,82,479,205,693,166,1677,302,524,176,81,66,51,90,1166,812,304,120,64,53,75,52,123,67,105,7,21.7,6.7,4.6,2.8,21.8,6.9,6.4,2.4,9.2,4.0,13.1,3.0,31.6,3.6,10.1,3.2,4.9,4.0,1.0,1.8,22.0,15.1,17.0,6.6,3.6,2.9,4.5,3.1,7.4,3.9,2.0,0.3,0.7556,0.75,0.5508,0.5952,0.6073,3.2589,0.7331,0.6305,0.6841,0.5198,0.5523,0.4937,2.8804,0.7331,0.5853,0.5853,0.5853,0.7627,0.7825,0.7359,0.8446,0.8138,3.9395,0.9675,10.6641,0.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7106,154,73,71,73,725,242,120,118,33,46,28,31,189,103,0,17,9.3,4.1,1.3,1.4,13.7,4.3,2.3,2.2,0.6,0.8,0.5,0.6,3.6,2.0,0.0,0.7
