ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
49,Utah,UT,49001,Beaver,49001100100,"Census Tract 1001, Beaver County, Utah",524.266189879112,3332,183,1748,132,1208,111,314,170,14,21,149,60,202,94,417,205,633,125,985,136,548,129,25,29,27,55,331,196,14,24,41,24,26,25,39,35,28,13,9.5,5.1,1.0,1.5,12.3,4.8,9.5,4.2,12.6,5.9,19.0,3.8,29.6,3.7,16.6,4.1,2.1,2.4,0.9,1.8,9.9,5.9,0.8,1.4,2.3,1.3,2.2,2.1,3.2,2.9,0.8,0.4,0.3117,0.0975,0.141,0.7518,0.7627,2.0647,0.3715,0.8872,0.5303,0.9336,0.2243,0.4866,3.062,0.8136,0.2031,0.2031,0.2031,0.3709,0.7345,0.4866,0.5989,0.7193,2.9102,0.7599,8.24,0.5946,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3006,885,324,0,12,284,184,0,12,47,65,0,12,0,12,0,12,26.8,1.5,0.0,1.0,8.5,5.3,0.0,1.0,1.4,2.0,0.0,1.0,0.0,1.0,0.0,1.0
49,Utah,UT,49001,Beaver,49001100200,"Census Tract 1002, Beaver County, Utah",2058.633351769588,3262,183,1286,133,1005,124,438,188,92,56,156,69,132,64,256,120,334,134,1156,150,297,106,56,38,150,72,702,215,6,15,44,33,27,28,7,10,23,14,13.5,5.8,6.1,3.6,15.5,6.6,7.6,3.7,7.9,3.7,10.2,4.1,35.4,4.1,9.2,3.3,5.6,3.7,5.2,2.5,21.5,6.5,0.5,1.2,3.4,2.5,2.7,2.8,0.7,1.0,0.7,0.4,0.4612,0.846,0.2454,0.6516,0.5212,2.7254,0.5537,0.4838,0.7927,0.4407,0.6248,0.8604,3.2024,0.8573,0.6037,0.6037,0.6037,0.3357,0.7754,0.5501,0.2288,0.7038,2.5938,0.6427,9.1253,0.7119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2588,522,315,0,12,506,184,20,43,28,38,0,12,148,94,0,12,16.1,0.9,0.0,1.0,15.5,5.2,0.6,1.3,0.9,1.2,0.0,1.0,4.5,2.9,0.0,1.0
49,Utah,UT,49003,Box Elder,49003960100,"Census Tract 9601, Box Elder County, Utah",5224.41895960159,3417,475,1338,115,1028,117,648,368,18,12,147,68,156,77,295,190,567,162,1089,243,474,110,18,14,9,49,144,67,0,16,121,47,56,46,8,6,18,18,19.0,10.4,1.3,0.9,14.3,6.4,7.5,3.3,8.6,5.4,16.6,4.6,31.9,5.6,13.9,2.3,1.8,1.3,0.3,1.5,4.2,1.9,0.0,1.2,9.0,3.5,5.4,4.4,0.8,0.6,0.5,0.5,0.6389,0.1511,0.2017,0.646,0.5678,2.2055,0.4082,0.8124,0.67,0.8404,0.1946,0.2764,2.7938,0.6808,0.0268,0.0268,0.0268,0.0,0.8898,0.7729,0.2542,0.6643,2.5812,0.6398,7.6073,0.4929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2562,285,673,11,18,77,45,0,12,17,17,0,12,39,39,0,12,8.4,1.2,0.3,0.5,2.3,1.3,0.0,0.9,0.5,0.5,0.0,0.9,1.1,1.2,0.0,0.9
49,Utah,UT,49003,Box Elder,49003960200,"Census Tract 9602, Box Elder County, Utah",100.172859647444,7961,563,2627,165,2434,166,1717,570,179,139,403,90,295,89,603,204,895,135,2534,301,905,162,97,58,9,62,1045,451,1,17,89,66,63,28,132,65,0,17,21.6,7.0,4.9,3.6,16.6,3.5,6.4,1.9,7.6,2.7,11.2,1.8,31.8,3.0,11.4,2.1,4.0,2.4,0.1,0.9,13.1,5.6,0.0,0.6,3.4,2.5,2.6,1.1,5.4,2.6,0.0,0.2,0.7179,0.726,0.292,0.5755,0.4986,2.81,0.589,0.5444,0.6615,0.6624,0.4457,0.2158,2.5298,0.5311,0.3286,0.3286,0.3286,0.0,0.7754,0.5416,0.7684,0.0,2.0854,0.4901,7.7538,0.5127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5603,497,794,21,27,914,446,28,29,23,31,10,11,49,46,0,17,6.2,0.4,0.3,0.3,11.5,5.2,0.4,0.4,0.3,0.4,0.1,0.1,0.6,0.6,0.0,0.4
49,Utah,UT,49003,Box Elder,49003960301,"Census Tract 9603.01, Box Elder County, Utah",10.03927362422,3696,498,1407,173,1366,171,1120,451,53,58,283,142,176,120,254,173,546,118,1117,299,671,184,166,140,47,65,562,261,0,16,14,17,43,58,19,29,0,12,30.3,11.5,3.3,3.6,20.7,10.1,7.7,5.1,6.9,4.6,14.8,3.6,30.2,7.0,18.2,5.2,12.2,10.1,1.4,1.9,15.2,6.8,0.0,1.1,1.0,1.2,3.1,4.2,1.4,2.2,0.0,0.3,0.8604,0.5325,0.4584,0.6587,0.4477,2.9577,0.6314,0.7348,0.5614,0.9633,0.9464,0.5783,3.7842,0.9859,0.4189,0.4189,0.4189,0.0,0.6455,0.598,0.3729,0.0,1.6164,0.3418,8.7772,0.6568,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,5872,525,688,0,12,446,241,26,26,0,12,0,12,90,95,0,12,14.2,1.9,0.0,0.9,12.1,6.7,0.7,0.7,0.0,0.9,0.0,0.9,2.4,2.5,0.0,0.9
49,Utah,UT,49003,Box Elder,49003960302,"Census Tract 9603.02, Box Elder County, Utah",3.80029966897,5611,481,1877,221,1781,226,1137,686,53,51,449,184,388,236,572,316,509,224,2127,313,785,292,107,96,120,134,1059,354,32,48,186,166,63,57,68,62,25,36,20.4,12.2,2.2,2.1,25.2,9.8,13.7,8.4,10.2,5.7,9.1,3.8,37.9,4.5,14.1,5.0,6.0,5.3,2.4,2.7,18.9,6.1,1.7,2.5,9.9,8.2,3.5,3.2,3.8,3.4,0.4,0.6,0.6855,0.322,0.6347,0.8674,0.6525,3.1621,0.7175,0.3921,0.8843,0.8517,0.6671,0.6855,3.4807,0.9449,0.5374,0.5374,0.5374,0.4274,0.8969,0.6389,0.6624,0.6446,3.2702,0.8602,10.4504,0.8672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4681,454,723,91,81,826,319,86,103,2,4,0,17,54,80,0,17,8.1,0.7,1.6,1.4,14.7,5.7,1.5,1.8,0.0,0.1,0.0,0.6,1.0,1.4,0.0,0.6
49,Utah,UT,49003,Box Elder,49003960400,"Census Tract 9604, Box Elder County, Utah",254.091030049734,5116,445,1648,122,1572,121,770,288,74,45,332,105,172,90,399,194,553,83,1521,200,522,105,112,76,39,76,904,330,0,24,16,24,33,24,59,47,0,17,15.1,5.5,3.0,1.7,21.1,6.5,5.3,2.7,7.9,3.6,10.8,1.8,29.7,2.9,10.3,2.0,7.1,4.8,0.8,1.6,17.7,6.3,0.0,1.5,1.0,1.5,2.1,1.5,3.8,2.9,0.0,0.3,0.5176,0.4718,0.4753,0.4979,0.5212,2.4838,0.4845,0.5233,0.536,0.5537,0.763,0.457,2.833,0.7034,0.5049,0.5049,0.5049,0.0,0.6455,0.4767,0.6624,0.0,1.7846,0.3997,7.6063,0.4915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6034,359,640,6,12,554,236,75,47,217,219,0,17,27,44,25,36,7.0,0.6,0.1,0.2,10.8,4.4,1.5,0.9,4.2,4.2,0.0,0.6,0.5,0.8,0.5,0.7
49,Utah,UT,49003,Box Elder,49003960500,"Census Tract 9605, Box Elder County, Utah",62.679967020472,5582,568,1833,197,1794,204,824,264,62,40,394,191,214,106,428,161,664,106,1779,312,700,188,57,34,78,98,734,285,106,53,0,17,35,38,273,186,207,123,15.4,4.7,2.4,1.6,22.0,10.3,6.7,3.3,8.0,3.0,11.9,2.0,31.9,4.6,13.0,3.3,3.2,1.9,1.5,1.9,13.1,4.9,5.8,2.8,0.0,1.8,2.0,2.1,15.2,9.0,3.7,2.2,0.5303,0.3503,0.5035,0.5952,0.5282,2.5075,0.4873,0.5896,0.67,0.7867,0.3385,0.5966,2.9814,0.7754,0.3286,0.3286,0.3286,0.5783,0.0,0.457,0.9689,0.9027,2.9069,0.7585,8.7244,0.6497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,7143,538,777,15,18,482,253,21,32,55,76,0,17,124,82,37,58,10.0,1.0,0.3,0.3,8.6,4.4,0.4,0.6,1.0,1.4,0.0,0.6,2.2,1.5,0.7,1.0
49,Utah,UT,49003,Box Elder,49003960601,"Census Tract 9606.01, Box Elder County, Utah",0.843796191146,3643,396,1434,146,1289,162,817,266,59,38,302,113,187,76,403,242,651,125,946,188,416,113,100,79,32,57,189,157,14,25,53,45,22,24,45,37,11,11,22.4,6.9,3.4,2.1,23.4,8.3,8.0,3.4,11.1,6.3,17.9,3.4,26.0,4.3,11.4,3.3,7.8,6.0,0.9,1.7,5.2,4.3,1.0,1.7,3.7,3.1,1.7,1.8,3.5,2.8,0.3,0.3,0.7405,0.548,0.5515,0.6855,0.6907,3.2162,0.7331,0.8618,0.3441,0.6624,0.8152,0.4866,3.1701,0.8517,0.048,0.048,0.048,0.3921,0.7867,0.3977,0.6314,0.622,2.8299,0.7288,9.2642,0.7331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4802,250,567,0,12,82,84,10,21,0,12,0,12,97,129,0,12,6.9,0.8,0.0,0.9,2.3,2.3,0.3,0.6,0.0,0.9,0.0,0.9,2.7,3.5,0.0,0.9
49,Utah,UT,49003,Box Elder,49003960602,"Census Tract 9606.02, Box Elder County, Utah",12.024867638254,2602,283,913,105,898,107,143,127,59,33,105,41,34,26,73,36,515,140,684,130,382,110,31,28,19,55,355,137,24,27,0,12,0,16,24,24,38,18,5.6,4.9,4.9,2.6,11.7,4.3,1.9,1.5,2.8,1.3,19.8,4.9,26.3,4.1,14.9,3.6,3.5,3.1,0.8,2.2,13.6,5.1,2.6,2.9,0.0,3.5,0.0,1.8,2.7,2.6,1.5,0.7,0.1439,0.726,0.1241,0.1777,0.1299,1.3016,0.1624,0.9097,0.3653,0.887,0.3794,0.457,2.9984,0.7924,0.354,0.354,0.354,0.4852,0.0,0.0,0.5565,0.7969,1.8386,0.4195,6.4926,0.363,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1894,164,393,93,74,163,95,13,20,34,51,0,12,52,32,0,12,6.4,0.7,3.6,2.8,6.3,3.6,0.5,0.8,1.3,1.9,0.0,1.2,2.0,1.2,0.0,1.2
