STATE,COUNTY,TRACT,BLOCK,GEOID,AREALAND,2020_HOU,2020_POP,2020_UACE,2020_UA_NAME
49,3,960500,1004,4.9004E+14,14487,11,32,10243,"Brigham City, UT"
49,3,960500,1005,4.9004E+14,300607,67,211,10243,"Brigham City, UT"
49,3,960500,1006,4.9004E+14,18722,14,58,10243,"Brigham City, UT"
49,3,960500,1007,4.9004E+14,15394,11,53,10243,"Brigham City, UT"
49,3,960500,1022,4.9004E+14,20727,16,70,10243,"Brigham City, UT"
49,3,960500,1023,4.9004E+14,17947,13,39,10243,"Brigham City, UT"
49,3,960500,1024,4.9004E+14,10066,7,31,10243,"Brigham City, UT"
49,3,960500,1025,4.9004E+14,114891,83,224,10243,"Brigham City, UT"
49,3,960500,1026,4.9004E+14,22757,20,63,10243,"Brigham City, UT"
49,3,960500,1027,4.9004E+14,23970,18,59,10243,"Brigham City, UT"
49,3,960500,1028,4.9004E+14,26983,5,20,10243,"Brigham City, UT"
49,3,960500,1030,4.9004E+14,366221,58,229,10243,"Brigham City, UT"
49,3,960500,1031,4.9004E+14,13555,10,34,10243,"Brigham City, UT"
49,3,960500,1032,4.9004E+14,18133,12,50,10243,"Brigham City, UT"
49,3,960500,1033,4.9004E+14,13736,10,54,10243,"Brigham City, UT"
49,3,960500,1034,4.9004E+14,124233,50,171,10243,"Brigham City, UT"
49,3,960500,1035,4.9004E+14,28891,19,65,10243,"Brigham City, UT"
49,3,960500,1036,4.9004E+14,28845,17,69,10243,"Brigham City, UT"
49,3,960500,2000,4.9004E+14,29506,17,56,10243,"Brigham City, UT"
49,3,960500,2001,4.9004E+14,29502,16,43,10243,"Brigham City, UT"
49,3,960500,2002,4.9004E+14,257910,80,197,10243,"Brigham City, UT"
49,3,960500,2003,4.9004E+14,26134,24,67,10243,"Brigham City, UT"
49,3,960500,2004,4.9004E+14,24334,22,88,10243,"Brigham City, UT"
49,3,960500,2005,4.9004E+14,24740,18,63,10243,"Brigham City, UT"
49,3,960500,2006,4.9004E+14,30954,0,0,10243,"Brigham City, UT"
49,3,960500,2050,4.9004E+14,810796,1,9,10243,"Brigham City, UT"
49,3,960500,2051,4.9004E+14,21441,0,0,10243,"Brigham City, UT"
49,3,960500,2052,4.9004E+14,250593,10,37,10243,"Brigham City, UT"
49,3,960500,2053,4.9004E+14,27673,14,31,10243,"Brigham City, UT"
49,3,960500,2054,4.9004E+14,29578,18,55,10243,"Brigham City, UT"
