FID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Total Population,Total Housing Units,Shape__Area,Shape__Length
235,49,007,000100,49007000100,1,Census Tract,G5020,S,73635820,0,39.5792651,-110.7259531,3236,1231,124114521.8,54835.78553
261,49,005,000101,49005000101,1.01,Census Tract,G5020,S,155060220,637673,41.9403452,-111.8291638,5201,1665,281608155.3,87634.08611
258,49,005,000102,49005000102,1.02,Census Tract,G5020,S,216053796,1062214,41.9670711,-112.0093288,1682,579,392791752.7,98644.28312
618,49,049,000102,49049000102,1.02,Census Tract,G5020,S,4157228,0,40.4009948,-111.8604302,4785,1437,7176359.328,13729.75488
610,49,049,000103,49049000103,1.03,Census Tract,G5020,S,4414537,87779,40.3850275,-111.8458668,4323,1385,7768382.012,14514.87944
470,49,049,000104,49049000104,1.04,Census Tract,G5020,S,2558167,0,40.4076644,-111.8490809,3200,887,4416876.422,11130.18276
471,49,049,000105,49049000105,1.05,Census Tract,G5020,S,2459580,0,40.4059454,-111.8347975,4073,1187,4246449.641,10874.76687
236,49,007,000200,49007000200,2,Census Tract,G5020,S,24000778,0,39.6272909,-110.8244056,4211,1902,40509445.8,34214.54961
101,49,019,000200,49019000200,2,Census Tract,G5020,S,35570158,1004192,38.5862336,-109.536096,4676,2328,59945045.86,44275.2206
259,49,005,000201,49005000201,2.01,Census Tract,G5020,S,40625920,200123,41.8501637,-111.8559779,4273,1338,73628565.42,43149.36611
257,49,005,000202,49005000202,2.02,Census Tract,G5020,S,32741754,0,41.8429101,-111.8032581,10042,3002,59039572.71,41814.52699
272,49,049,000203,49049000203,2.03,Census Tract,G5020,S,2382757,0,40.3780618,-111.7804922,4751,1561,4110426.148,9105.086568
476,49,049,000205,49049000205,2.05,Census Tract,G5020,S,2502975,0,40.402826,-111.811498,3875,939,4320969.445,10728.04209
477,49,049,000206,49049000206,2.06,Census Tract,G5020,S,2002431,0,40.3950994,-111.8084867,3747,974,3456077.828,8148.852916
357,49,049,000207,49049000207,2.07,Census Tract,G5020,S,2840819,0,40.3861157,-111.8210596,2551,777,4901771.461,12658.54975
58,49,049,000208,49049000208,2.08,Census Tract,G5020,S,2117625,0,40.3861186,-111.8061491,4088,1224,3653923.996,8428.194249
234,49,007,000300,49007000300,3,Census Tract,G5020,S,7373053,0,39.595645,-110.7957423,4202,1996,12433244.43,18846.48404
489,49,017,000300,49017000300,3,Census Tract,G5020,S,2073182008,5025436,37.8155938,-112.4166517,2342,1945,3335785293,333776.4967
131,49,005,000301,49005000301,3.01,Census Tract,G5020,S,163513882,8568470,41.8333643,-111.9564907,2312,739,310288807.9,112931.6674
222,49,019,000301,49019000301,3.01,Census Tract,G5020,S,118496149,29863,38.5365433,-109.4275144,2470,1537,194020852.4,69794.25994
132,49,005,000302,49005000302,3.02,Census Tract,G5020,S,92877771,7108736,41.7329355,-111.8990413,5869,1730,179710712.6,89364.33801
221,49,019,000302,49019000302,3.02,Census Tract,G5020,S,9358295385,30518223,38.9743261,-109.5734502,2523,1327,15563225328,719736.2294
671,49,017,000400,49017000400,4,Census Tract,G5020,S,11330390585,80585346,37.8146277,-111.2566085,2741,1556,18338209960,730062.3164
91,49,049,000400,49049000400,4,Census Tract,G5020,S,3830392,0,40.3689611,-111.7891429,5843,2202,6605940.027,14511.09972
268,49,005,000401,49005000401,4.01,Census Tract,G5020,S,5622465,21401,41.7668838,-111.8197486,4947,2035,10153228.08,13031.28941
269,49,005,000402,49005000402,4.02,Census Tract,G5020,S,15417452,0,41.790516,-111.7877528,4567,1288,27755429.94,30821.55931
267,49,005,000403,49005000403,4.03,Census Tract,G5020,S,23753087,0,41.7948563,-111.8434252,6530,1893,42767513.37,29742.96144
233,49,007,000500,49007000500,5,Census Tract,G5020,S,1115839194,10987530,39.6621253,-111.0134931,4010,2190,1903766035,210657.3887
658,49,005,000501,49005000501,5.01,Census Tract,G5020,S,2724900,0,41.7419227,-111.845173,5247,2150,4898151.223,9923.111802
657,49,005,000502,49005000502,5.02,Census Tract,G5020,S,5091018,0,41.7604948,-111.8449002,6714,2466,9156651.867,15915.33014
478,49,049,000504,49049000504,5.04,Census Tract,G5020,S,2431208,0,40.36751,-111.7297599,4373,1317,4192702.801,8771.223453
5,49,049,000505,49049000505,5.05,Census Tract,G5020,S,3919712,0,40.3700595,-111.7070846,3288,846,6760192.629,12562.8939
479,49,049,000506,49049000506,5.06,Census Tract,G5020,S,2028487,0,40.3566103,-111.724661,4316,1261,3497076.328,8898.301093
6,49,049,000507,49049000507,5.07,Census Tract,G5020,S,3266953,0,40.3582891,-111.6967597,2203,593,5632448.074,12512.66994
480,49,049,000508,49049000508,5.08,Census Tract,G5020,S,2473691,0,40.3709266,-111.7524115,5309,1653,4266395.996,9307.122516
199,49,049,000510,49049000510,5.1,Census Tract,G5020,S,1980950,0,40.3624797,-111.7673779,3748,1622,3415708.578,7693.757225
341,49,049,000511,49049000511,5.11,Census Tract,G5020,S,2127450,0,40.3604611,-111.7498954,5103,1967,3668104.992,8337.417474
19,49,007,000600,49007000600,6,Census Tract,G5020,S,2610218871,4856913,39.70961,-110.3671444,4753,2260,4416060727,397505.1455
286,49,005,000601,49005000601,6.01,Census Tract,G5020,S,1025729,0,41.7473325,-111.8242472,4277,1346,1844114.938,6225.158335
271,49,049,000601,49049000601,6.01,Census Tract,G5020,S,8578855,0,40.3429521,-111.7406245,4075,1292,14783862.1,18286.50048
285,49,005,000602,49005000602,6.02,Census Tract,G5020,S,1408681,0,41.7537414,-111.8241571,4107,1454,2533107.234,6762.958664
423,49,049,000603,49049000603,6.03,Census Tract,G5020,S,4185376,0,40.3434122,-111.7102207,4279,1191,7212706.516,12019.48877
434,49,049,000604,49049000604,6.04,Census Tract,G5020,S,4769544,0,40.3426676,-111.6837205,3162,833,8219241.422,13667.11479
262,49,005,000701,49005000701,7.01,Census Tract,G5020,S,5074441,40252,41.7520983,-111.7932254,4947,1483,9196802.5,19425.76582
270,49,005,000702,49005000702,7.02,Census Tract,G5020,S,1629053,0,41.7481547,-111.8098413,3480,656,2928878.691,7788.057084
13,49,049,000703,49049000703,7.03,Census Tract,G5020,S,1831747,0,40.3156465,-111.689927,6141,2129,3154096.59,8079.011271
125,49,049,000706,49049000706,7.06,Census Tract,G5020,S,2184751,0,40.3177123,-111.7170691,6370,2258,3762161.211,10264.76935
123,49,049,000707,49049000707,7.07,Census Tract,G5020,S,1532480,0,40.3258061,-111.7137593,3948,1163,2639570.828,7159.829881
435,49,049,000708,49049000708,7.08,Census Tract,G5020,S,1289218,0,40.33006,-111.7009712,2951,769,2220854.863,7414.404178
436,49,049,000709,49049000709,7.09,Census Tract,G5020,S,2016840,0,40.3229545,-111.6917189,3127,868,3473557.254,8568.014892
437,49,049,000710,49049000710,7.1,Census Tract,G5020,S,1186162,0,40.3301261,-111.6831595,2821,790,2043330.543,6570.46013
535,49,049,000711,49049000711,7.11,Census Tract,G5020,S,4997510,0,40.3225091,-111.6625954,2325,606,8606983.797,16213.18368
