OBJECTID,NAME,COLOR,Source of Data,Date Updated,Effective Date,Expiration Date,Emergency Service Boundary NENA Globally Unique ID,State,Agency ID,Service URI,Service URN,Service Number,Agency vCard URI,Display Name,Discrepancy Agency ID,Shape__Area,Shape__Length
30,ALTA MARSHAL,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,ALTA MARSHAL,gis.utah.gov/data/911,20350476.85,23115.25239
31,AMERICAN FORK PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,AMERICAN FORK POLICE DEPARTMENT,gis.utah.gov/data/911,51016458.35,90800.33447
32,AURORA PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,AURORA POLICE DEPARTMENT,gis.utah.gov/data/911,4004220.234,12425.68425
15,BEAVER COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,BEAVER COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,10904974577,500867.8199
132,BIG WATER MARSHAL,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,BIG WATER MARSHAL,gis.utah.gov/data/911,24423877.9,24211.14876
33,BLANDING PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,BLANDING POLICE DEPARTMENT,gis.utah.gov/data/911,54719275.13,69388.63364
34,BOUNTIFUL PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,BOUNTIFUL POLICE DEPARTMENT,gis.utah.gov/data/911,59929887.2,52005.69675
6,BOX ELDER COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,BOX ELDER COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,30856236629,982671.5535
35,BRIAN HEAD PUBLIC SAFETY,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,BRIAN HEAD PUBLIC SAFETY,gis.utah.gov/data/911,26876748.23,27299.35288
36,BRIGHAM CITY PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,BRIGHAM CITY POLICE DEPARTMENT,gis.utah.gov/data/911,116982773.3,84093.31273
1,CACHE COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,CACHE COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,5286088200,555046.2053
13,CARBON COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,CARBON COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,6395687056,598416.6288
37,CEDAR CITY PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,CEDAR CITY POLICE DEPARTMENT,gis.utah.gov/data/911,150407291.5,150586.4839
38,CENTERFIELD PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,CENTERFIELD POLICE DEPARTMENT,gis.utah.gov/data/911,8221643.559,11547.07044
39,CENTERVILLE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,CENTERVILLE POLICE DEPARTMENT,gis.utah.gov/data/911,27258385.98,31951.94108
40,CLEARFIELD PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,CLEARFIELD POLICE DEPARTMENT,gis.utah.gov/data/911,32549975.38,33191.644
41,CLINTON PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,CLINTON POLICE DEPARTMENT,gis.utah.gov/data/911,27114812.52,26090.56371
42,COTTONWOOD HEIGHTS PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,COTTONWOOD HEIGHTS POLICE DEPARTMENT,gis.utah.gov/data/911,41563685.37,37878.61007
14,DAGGETT COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,DAGGETT COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,3262293233,359084.7593
3,DAVIS COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,DAVIS COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,2377744048,527630.9745
43,DRAPER PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,DRAPER POLICE DEPARTMENT,gis.utah.gov/data/911,127288348.3,77753.15438
2,DUCHESNE COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,DUCHESNE COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,11699280188,2194298.117
44,EAST CARBON PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,EAST CARBON POLICE DEPARTMENT,gis.utah.gov/data/911,49160683.34,57584.2516
23,EMERY COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,EMERY COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,19204634137,792095.7539
45,ENOCH PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,ENOCH POLICE DEPARTMENT,gis.utah.gov/data/911,32759605.37,55265.83905
46,ENTERPRISE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,ENTERPRISE POLICE DEPARTMENT,gis.utah.gov/data/911,36115522.66,42920.93797
47,EPHRAIM PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,EPHRAIM POLICE DEPARTMENT,gis.utah.gov/data/911,22216598.48,34704.92247
48,ESCALANTE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,ESCALANTE POLICE DEPARTMENT,gis.utah.gov/data/911,13687035.46,27231.60159
49,FAIRFIELD PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,FAIRFIELD POLICE DEPARTMENT,gis.utah.gov/data/911,116292665,55543.88393
50,FAIRVIEW PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,FAIRVIEW POLICE DEPARTMENT,gis.utah.gov/data/911,5505277.449,10862.89963
51,FARMINGTON PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,FARMINGTON POLICE DEPARTMENT,gis.utah.gov/data/911,45680199.51,41646.19824
52,FOUNTAIN GREEN PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,FOUNTAIN GREEN POLICE DEPARTMENT,gis.utah.gov/data/911,5458773.254,9410.779586
17,GARFIELD COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,GARFIELD COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,21663060347,823945.3736
128,GOSHUTE TRIBAL PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,GOSHUTE TRIBAL POLICE DEPARTMENT,gis.utah.gov/data/911,320001088.7,168191.0336
11,GRAND COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,GRAND COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,14448817884,792209.7619
53,GRANTSVILLE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,GRANTSVILLE POLICE DEPARTMENT,gis.utah.gov/data/911,182699968.2,110839.1735
54,GUNNISON PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,GUNNISON POLICE DEPARTMENT,gis.utah.gov/data/911,20663409.16,21394.58042
