OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
112,25,Alpine,0,ALPINE,9/1/17 0:00,00540,3010,001,4, ,10251,10304,ALP,1438174,6f352b49-27b7-402b-9427-6a68b9fa5b4c,35599905.18,35280.24699
57,18,Alta,0,ALTA,,00650,3010,003,3, ,228,227,ALA,1437483,cb146050-1ecb-4c73-a2c0-33224bb247dc,20350476.85,23115.25239
86,07,Altamont,0,ALTAMONT,8/23/10 0:00,00760,3010,001,1, ,239,245,AMT,1425096,e74de59f-f7f3-48ad-8ce1-4b0fb45ebf68,945293.6484,4769.040732
238,13,Alton,0,ALTON,,00870,3010,001,4, ,118,117,ALT,1438182,5fe4f880-0ec4-4af4-b6d2-e8775e987311,9554227.359,21713.47405
68,03,Amalga,0,AMALGA,8/31/12 0:00,01090,3010,001,1, ,482,500,AMG,1437485,039ecd69-70c8-400e-8c69-3cc716b76031,16579396.25,32788.58312
216,25,American Fork,0,AMERICAN FORK,11/14/23 0:00,01310,3020,002,1,American Fork,33337,37268,AFK,1438194,c0e04ca7-25b1-4e2e-a48a-d4353103e701,51170399.72,88442.90074
233,21,Annabella,0,ANNABELLA TOWN,8/31/10 0:00,01750,3010,001,1, ,836,872,ANN,1438228,c5ad2645-c9bf-4ccb-b71c-e0c4600a0244,2773608.93,10650.57916
74,09,Antimony,0,ANTIMONY,12/15/10 0:00,01860,3010,001,4, ,118,124,ANT,1438250,6dd94b56-a4a9-4d6e-82a8-4176fcfbc611,41292182.35,35266.55987
247,27,Apple Valley,0,APPLE VALLEY,1/17/08 0:00,01905,3005,002,3, ,855,900,APP,2061574,9d5e167d-4882-44b8-b2b8-f1007c363bb4,161907332,88233.79249
43,21,Aurora,0,AURORA,3/14/23 0:00,02740,3020,002,1, ,984,1030,AUR,1438307,8a566295-a7ea-495f-b3e5-22474453f824,4004220.234,12425.68425
37,24,Ballard,0,BALLARD,11/30/12 0:00,03345,3010,028,1, ,1131,1191,BAL,1455969,a1690a05-5033-4f8a-ba22-1d494cf2c803,62175667.74,34618.01645
241,02,Bear River City,0,BEAR RIVER CITY,5/25/12 0:00,03950,3010,004,3, ,877,878,BRC,1438487,3b13129a-a8ce-4f7a-be62-eaf244fc2363,8331231.059,16873.43587
193,01,Beaver,1,BEAVER,5/16/22 0:00,04060,3010,002,1,Beaver,3592,3708,BVR,1438510,faf5d84b-6d8f-42dc-8c17-bbead1d06c3b,28199509.39,45655.15638
28,28,Bicknell,0,BICKNELL,11/4/10 0:00,05490,3010,001,1, ,323,337,BIC,1438623,d53dd230-9201-422f-9650-1690a6012121,2409287.605,8645.580558
48,13,Big Water,0,BIG WATER,,05534,3020,010,1,Big Water,449,487,BGW,1455970,d41d26d2-8e91-46c9-82a8-2932ce92c2ee,24423887.46,24211.15366
160,19,Blanding,0,BLANDING,5/24/24 0:00,06370,3010,002,1,Blanding,3394,3229,BLA,1438903,c53f2072-cc15-4ba5-a040-a092c3e23293,54719275.14,69388.63364
99,19,Bluff,0,BLUFF,3/1/19 0:00,06700,3015,19,4,Bluff,240,243,BLF,1425842,c5b1dbee-31ed-4ae6-b804-5d7f6dd982af,151649737.6,86753.68543
26,18,Bluffdale,0,BLUFFDALE (SL CO),11/15/18 0:00,06810,3020,019,4,,17014,19080,BDL,1425844,3d5e4a34-182f-4234-b5e7-13a2db541081,46710621.67,38425.71791
176,25,Bluffdale,0,BLUFFDALE (UTAH CO),12/15/11 0:00,06810,3020,019,4,,17014,19080,BDL,1425844,254ef113-9c9f-4958-873e-aeac52caf707,3033724.562,8752.870623
153,09,Boulder,0,BOULDER,12/15/10 0:00,07470,3020,002,1,Boulder,227,241,BLD,1437510,838e62c8-8032-4f0d-a451-9c3742ffb0e0,87335457.32,49048.10786
208,06,Bountiful,0,BOUNTIFUL,,07690,3010,004,3,Bountiful,45762,44481,BTF,1439039,31393e83-3440-4c6e-bfc0-cd215153f1a7,59929887.19,52005.69675
10,11,Brian Head,0,BRIAN HEAD CITY,12/15/10 0:00,08020,3010,028,3, ,151,155,BHD,1448176,31c22413-8730-4b07-bffb-073292f20392,26913775.23,27107.38998
47,02,Brigham City,1,BRIGHAM CITY,6/17/19 0:00,08460,3020,017,2,Brigham,19650,19963,BGM,1439109,68eb99bb-8193-4947-8005-2803905cbdf8,117028609.4,84894.92593
104,18,Brighton,0,BRIGHTON,1/2/20 0:00,08570,3022,18010,2,Brighton,432,441,BRT,1439115,cd6ecf36-78a4-46a8-9b14-638ac9170b45,71423836.31,45642.20671
214,09,Bryce Canyon City,0,BRYCE CANYON CITY,12/15/10 0:00,08787,3015,003,3,Bryce Cyn,336,332,BRY,1439206,1a305a14-0a44-438f-8438-d324102d6a82,13874725.66,24229.60928
185,09,Cannonville,0,CANNONVILLE,8/4/22 0:00,10330,3030,004,1, ,186,193,CAN,1426344,28da96ee-385e-4586-9cbc-b44c894a5602,14914318.91,44932.49502
141,08,Castle Dale,1,CASTLE DALE,3/23/22 0:00,10660,3010,001,1,Castle Dale,1492,1530,CDL,1426380,840c7141-ea4d-4f7a-966e-917d1028a9ef,9759296.824,22193.26076
164,10,Castle Valley,0,CASTLE VALLEY,9/19/07 0:00,11000,3010,005,1, ,347,360,CSV,1450284,29a9ff3c-734e-4381-8bc6-a5a372863856,37360377.47,31034.02675
125,11,Cedar City,0,CEDAR CITY,5/10/24 0:00,11320,3020,003,1,Cedar City,35235,38692,CDC,1426441,6a0407d3-a57e-4065-b4c4-79bacf67c0c6,150407291.7,150586.484
