X,Y,Z,Name,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,NAME2
363155.168750675,4246972.75536786,0,1001,"49","001","100100",1400000US49001100100,"49001100100",Census Tract 1001,UT,Beaver County,Utah,CT,"1357843756","830378",1001
289478.413520965,4248145.65189856,0,1002,"49","001","100200",1400000US49001100200,"49001100200",Census Tract 1002,UT,Beaver County,Utah,CT,"5331838094","4468088",1002
311728.374245295,4597085.70341754,0,9601,"49","003","960100",1400000US49003960100,"49003960100",Census Tract 9601,UT,Box Elder County,Utah,CT,"13531188545","2288660990",9601
410102.052197895,4616337.12012777,0,9602,"49","003","960200",1400000US49003960200,"49003960200",Census Tract 9602,UT,Box Elder County,Utah,CT,"259446622","548733",9602
405856.359837572,4615763.74191194,0,9603.01,"49","003","960301",1400000US49003960301,"49003960301",Census Tract 9603.01,UT,Box Elder County,Utah,CT,"26001610","0",9603.01
401265.534297283,4618235.70644989,0,9603.02,"49","003","960302",1400000US49003960302,"49003960302",Census Tract 9603.02,UT,Box Elder County,Utah,CT,"9842735","0",9603.02
393323.315673038,4601449.42829307,0,9604,"49","003","960400",1400000US49003960400,"49003960400",Census Tract 9604,UT,Box Elder County,Utah,CT,"658093017","101859603",9604
407438.667780349,4592167.56734209,0,9605,"49","003","960500",1400000US49003960500,"49003960500",Census Tract 9605,UT,Box Elder County,Utah,CT,"162340436","114180400",9605
415957.053941095,4596402.35003135,0,9606.01,"49","003","960601",1400000US49003960601,"49003960601",Census Tract 9606.01,UT,Box Elder County,Utah,CT,"2185423","0",9606.01
416605.923663918,4598849.74802404,0,9606.02,"49","003","960602",1400000US49003960602,"49003960602",Census Tract 9606.02,UT,Box Elder County,Utah,CT,"31144277","0",9606.02
414397.424118863,4594722.4892405,0,9607.01,"49","003","960701",1400000US49003960701,"49003960701",Census Tract 9607.01,UT,Box Elder County,Utah,CT,"3947945","0",9607.01
416078.77048765,4594438.10131832,0,9607.02,"49","003","960702",1400000US49003960702,"49003960702",Census Tract 9607.02,UT,Box Elder County,Utah,CT,"3141802","0",9607.02
418981.130735749,4588579.14432616,0,9608.01,"49","003","960801",1400000US49003960801,"49003960801",Census Tract 9608.01,UT,Box Elder County,Utah,CT,"181918513","42395506",9608.01
413358.890276479,4591133.58071978,0,9608.02,"49","003","960802",1400000US49003960802,"49003960802",Census Tract 9608.02,UT,Box Elder County,Utah,CT,"11777242","6306",9608.02
431460.925474593,4642476.80013083,0,1.01,"49","005","000101",1400000US49005000101,"49005000101",Census Tract 1.01,UT,Cache County,Utah,CT,"155060220","637673",1.01
416502.418822055,4641991.07646794,0,1.02,"49","005","000102",1400000US49005000102,"49005000102",Census Tract 1.02,UT,Cache County,Utah,CT,"216053796","1062214",1.02
428892.853091541,4633283.41110614,0,2.01,"49","005","000201",1400000US49005000201,"49005000201",Census Tract 2.01,UT,Cache County,Utah,CT,"40625920","200123",2.01
433216.011100715,4632746.88316982,0,2.02,"49","005","000202",1400000US49005000202,"49005000202",Census Tract 2.02,UT,Cache County,Utah,CT,"32741754","0",2.02
419678.363196938,4631835.09574808,0,3.01,"49","005","000301",1400000US49005000301,"49005000301",Census Tract 3.01,UT,Cache County,Utah,CT,"163513882","8568470",3.01
424613.639379133,4620946.85243274,0,3.02,"49","005","000302",1400000US49005000302,"49005000302",Census Tract 3.02,UT,Cache County,Utah,CT,"92877771","7108736",3.02
431897.412880512,4624315.92092235,0,4.01,"49","005","000401",1400000US49005000401,"49005000401",Census Tract 4.01,UT,Cache County,Utah,CT,"5622465","21401",4.01
434545.619716553,4626575.73855359,0,4.02,"49","005","000402",1400000US49005000402,"49005000402",Census Tract 4.02,UT,Cache County,Utah,CT,"15417452","0",4.02
429719.61965375,4627679.31628665,0,4.03,"49","005","000403",1400000US49005000403,"49005000403",Census Tract 4.03,UT,Cache County,Utah,CT,"23753087","0",4.03
429577.559961001,4621562.80514673,0,5.01,"49","005","000501",1400000US49005000501,"49005000501",Census Tract 5.01,UT,Cache County,Utah,CT,"2724900","0",5.01
430038.874204054,4623570.15175278,0,5.02,"49","005","000502",1400000US49005000502,"49005000502",Census Tract 5.02,UT,Cache County,Utah,CT,"5091018","0",5.02
431466.37673915,4622051.78239585,0,6.01,"49","005","000601",1400000US49005000601,"49005000601",Census Tract 6.01,UT,Cache County,Utah,CT,"1025729","0",6.01
431483.092898786,4622765.36705655,0,6.02,"49","005","000602",1400000US49005000602,"49005000602",Census Tract 6.02,UT,Cache County,Utah,CT,"1408681","0",6.02
433934.783863706,4622385.54054937,0,7.01,"49","005","000701",1400000US49005000701,"49005000701",Census Tract 7.01,UT,Cache County,Utah,CT,"5074441","40252",7.01
432721.910178533,4622039.87543001,0,7.02,"49","005","000702",1400000US49005000702,"49005000702",Census Tract 7.02,UT,Cache County,Utah,CT,"1629053","0",7.02
431199.641968266,4620933.23293611,0,8,"49","005","000800",1400000US49005000800,"49005000800",Census Tract 8,UT,Cache County,Utah,CT,"1768143","0",8
431313.187643107,4620078.83865886,0,9,"49","005","000900",1400000US49005000900,"49005000900",Census Tract 9,UT,Cache County,Utah,CT,"1712481","0",9
428936.573997486,4619016.26224495,0,10.01,"49","005","001001",1400000US49005001001,"49005001001",Census Tract 10.01,UT,Cache County,Utah,CT,"1690923","0",10.01
