YEAR,GEOID20,COUNTYFIPS,STATEFIPS,STATE,COUNTY,REGION,ACS_PCT_UNINSURED
2020,49001100100,49001,49,Utah,Beaver County,West,12.62
2020,49001100200,49001,49,Utah,Beaver County,West,7.9
2020,49003960100,49003,49,Utah,Box Elder County,West,8.63
2020,49003960200,49003,49,Utah,Box Elder County,West,7.57
2020,49003960301,49003,49,Utah,Box Elder County,West,6.87
2020,49003960302,49003,49,Utah,Box Elder County,West,10.24
2020,49003960400,49003,49,Utah,Box Elder County,West,7.88
2020,49003960500,49003,49,Utah,Box Elder County,West,7.95
2020,49003960601,49003,49,Utah,Box Elder County,West,11.06
2020,49003960602,49003,49,Utah,Box Elder County,West,2.85
2020,49003960701,49003,49,Utah,Box Elder County,West,9.55
2020,49003960702,49003,49,Utah,Box Elder County,West,12.74
2020,49003960801,49003,49,Utah,Box Elder County,West,6.74
2020,49003960802,49003,49,Utah,Box Elder County,West,2.64
2020,49005000101,49005,49,Utah,Cache County,West,7.84
2020,49005000102,49005,49,Utah,Cache County,West,3.44
2020,49005000201,49005,49,Utah,Cache County,West,3.34
2020,49005000202,49005,49,Utah,Cache County,West,2.56
2020,49005000301,49005,49,Utah,Cache County,West,5
2020,49005000302,49005,49,Utah,Cache County,West,5.98
2020,49005000401,49005,49,Utah,Cache County,West,11.35
2020,49005000402,49005,49,Utah,Cache County,West,2.88
2020,49005000403,49005,49,Utah,Cache County,West,2.97
2020,49005000501,49005,49,Utah,Cache County,West,15.69
2020,49005000502,49005,49,Utah,Cache County,West,6.63
2020,49005000601,49005,49,Utah,Cache County,West,7.81
2020,49005000602,49005,49,Utah,Cache County,West,14.87
2020,49005000701,49005,49,Utah,Cache County,West,6.83
2020,49005000702,49005,49,Utah,Cache County,West,6.34
2020,49005000800,49005,49,Utah,Cache County,West,7.42
2020,49005000900,49005,49,Utah,Cache County,West,12.54
2020,49005001001,49005,49,Utah,Cache County,West,13.93
2020,49005001002,49005,49,Utah,Cache County,West,6.63
2020,49005001101,49005,49,Utah,Cache County,West,4.18
2020,49005001102,49005,49,Utah,Cache County,West,4.49
2020,49005001201,49005,49,Utah,Cache County,West,5.8
2020,49005001202,49005,49,Utah,Cache County,West,3.39
2020,49005001300,49005,49,Utah,Cache County,West,3.99
2020,49005001401,49005,49,Utah,Cache County,West,3.18
2020,49005001402,49005,49,Utah,Cache County,West,21.19
2020,49005001500,49005,49,Utah,Cache County,West,4.33
2020,49005980100,49005,49,Utah,Cache County,West,35.45
2020,49007000100,49007,49,Utah,Carbon County,West,4.16
2020,49007000200,49007,49,Utah,Carbon County,West,10.23
2020,49007000300,49007,49,Utah,Carbon County,West,12.76
2020,49007000500,49007,49,Utah,Carbon County,West,4.4
2020,49007000600,49007,49,Utah,Carbon County,West,13.25
2020,49009960100,49009,49,Utah,Daggett County,West,5.41
2020,49011125102,49011,49,Utah,Davis County,West,2.76
2020,49011125103,49011,49,Utah,Davis County,West,3.71
2020,49011125104,49011,49,Utah,Davis County,West,3.44
2020,49011125201,49011,49,Utah,Davis County,West,0.29
2020,49011125301,49011,49,Utah,Davis County,West,14.52
2020,49011125304,49011,49,Utah,Davis County,West,6.81
2020,49011125305,49011,49,Utah,Davis County,West,8.8
2020,49011125306,49011,49,Utah,Davis County,West,2.4
2020,49011125307,49011,49,Utah,Davis County,West,6.95
2020,49011125407,49011,49,Utah,Davis County,West,4.08
2020,49011125408,49011,49,Utah,Davis County,West,2.44
2020,49011125409,49011,49,Utah,Davis County,West,0.89
2020,49011125410,49011,49,Utah,Davis County,West,4.19
2020,49011125411,49011,49,Utah,Davis County,West,0.49
2020,49011125412,49011,49,Utah,Davis County,West,10.13
2020,49011125413,49011,49,Utah,Davis County,West,2.57
2020,49011125414,49011,49,Utah,Davis County,West,2.97
2020,49011125415,49011,49,Utah,Davis County,West,5.62
2020,49011125501,49011,49,Utah,Davis County,West,8.74
